id,complaint_text,category_label
158,Room booking was not confirmed,booking
159,Unable to access my account,technical
160,The booking website crashed during payment,technical
161,Refund has not been processed,billing
162,Housekeeping did not clean the room,cleanliness
163,I was charged twice for my reservation,billing
164,Bathroom hygiene was unacceptable,cleanliness
165,Bedsheets were dirty,cleanliness
166,The response from support was very slow,service
167,The invoice amount is incorrect,billing
168,System error while confirming reservation,technical
169,Reception staff behaved unprofessionally,service
170,Bedsheets were dirty,cleanliness
171,Housekeeping did not clean the room,cleanliness
172,Payment was deducted but booking not confirmed,billing
173,The booking website crashed during payment,technical
174,The response from support was very slow,service
175,I was charged twice for my reservation,billing
176,Bathroom hygiene was unacceptable,cleanliness
177,System error while confirming reservation,technical
178,Bathroom hygiene was unacceptable,cleanliness
179,Mobile app is not loading properly,technical
180,The website keeps showing server errors,technical
181,I received the wrong booking dates,booking
182,I was charged twice for my reservation,billing
183,I received the wrong booking dates,booking
184,I was charged twice for my reservation,billing
185,Mobile app is not loading properly,technical
186,Mobile app is not loading properly,technical
187,Booking confirmation email never arrived,booking
188,Booking confirmation email never arrived,booking
189,I was charged twice for my reservation,billing
190,The invoice amount is incorrect,billing
191,The hotel room was not clean,cleanliness
192,The website keeps showing server errors,technical
193,Bathroom hygiene was unacceptable,cleanliness
194,Room booking was not confirmed,booking
195,Unexpected charges appeared on my bill,billing
196,The booking website crashed during payment,technical
197,Mobile app is not loading properly,technical
198,The staff was not helpful during check-in,service
199,The website keeps showing server errors,technical
200,Booking confirmation email never arrived,booking
201,Customer service did not respond to my request,service
202,Customer service did not respond to my request,service
203,My reservation disappeared from the system,booking
204,The response from support was very slow,service
205,Room booking was not confirmed,booking
206,Mobile app is not loading properly,technical
207,Refund has not been processed,billing
208,Refund has not been processed,billing
209,Customer service did not respond to my request,service
210,I received the wrong booking dates,booking
211,Mobile app is not loading properly,technical
212,The staff was not helpful during check-in,service
213,Reception staff behaved unprofessionally,service
214,System error while confirming reservation,technical
215,Unexpected charges appeared on my bill,billing
216,The website keeps showing server errors,technical
217,Booking confirmation email never arrived,booking
218,The booking website crashed during payment,technical
219,Unexpected charges appeared on my bill,billing
220,My request was ignored by the service team,service
221,The booking website crashed during payment,technical
222,Payment was deducted but booking not confirmed,billing
223,I received the wrong booking dates,booking
224,Unable to access my account,technical
225,Housekeeping did not clean the room,cleanliness
226,Refund has not been processed,billing
227,Bathroom hygiene was unacceptable,cleanliness
228,The booking website crashed during payment,technical
229,My reservation disappeared from the system,booking
230,Housekeeping did not clean the room,cleanliness
231,The response from support was very slow,service
232,My reservation disappeared from the system,booking
233,The website keeps showing server errors,technical
234,The booking website crashed during payment,technical
235,The website keeps showing server errors,technical
236,Unable to access my account,technical
237,Unable to access my account,technical
238,The website keeps showing server errors,technical
239,Customer service did not respond to my request,service
240,Reservation details were incorrect,booking
241,My request was ignored by the service team,service
242,Bedsheets were dirty,cleanliness
243,Booking confirmation email never arrived,booking
244,Unexpected charges appeared on my bill,billing
245,Mobile app is not loading properly,technical
246,Booking confirmation email never arrived,booking
247,Bedsheets were dirty,cleanliness
248,Reservation details were incorrect,booking
249,Room booking was not confirmed,booking
250,The room had a bad smell,cleanliness
251,The staff was not helpful during check-in,service
252,The website keeps showing server errors,technical
253,Bedsheets were dirty,cleanliness
254,The invoice amount is incorrect,billing
255,Mobile app is not loading properly,technical
256,Customer service did not respond to my request,service
257,I was charged twice for my reservation,billing
258,Reception staff behaved unprofessionally,service
259,The hotel room was not clean,cleanliness
260,Reservation details were incorrect,booking
261,Bathroom hygiene was unacceptable,cleanliness
262,Reservation details were incorrect,booking
263,Room booking was not confirmed,booking
264,The staff was not helpful during check-in,service
265,Refund has not been processed,billing
266,Customer service did not respond to my request,service
267,The room had a bad smell,cleanliness
268,Payment was deducted but booking not confirmed,billing
269,The staff was not helpful during check-in,service
270,Room booking was not confirmed,booking
271,Booking confirmation email never arrived,booking
272,Housekeeping did not clean the room,cleanliness
273,Unable to access my account,technical
274,Housekeeping did not clean the room,cleanliness
275,Booking confirmation email never arrived,booking
276,Room booking was not confirmed,booking
277,Reservation details were incorrect,booking
278,Mobile app is not loading properly,technical
279,The website keeps showing server errors,technical
280,Room booking was not confirmed,booking
281,Unable to access my account,technical
282,Unexpected charges appeared on my bill,billing
283,The response from support was very slow,service
284,System error while confirming reservation,technical
285,The hotel room was not clean,cleanliness
286,Customer service did not respond to my request,service
287,Reception staff behaved unprofessionally,service
288,Customer service did not respond to my request,service
289,Refund has not been processed,billing
290,I received the wrong booking dates,booking
291,The room had a bad smell,cleanliness
292,My reservation disappeared from the system,booking
293,Reception staff behaved unprofessionally,service
294,Booking confirmation email never arrived,booking
295,Payment was deducted but booking not confirmed,billing
296,Reservation details were incorrect,booking
297,Unexpected charges appeared on my bill,billing
298,Unable to access my account,technical
299,Booking confirmation email never arrived,booking
300,Housekeeping did not clean the room,cleanliness
301,Reception staff behaved unprofessionally,service
302,The response from support was very slow,service
303,Reservation details were incorrect,booking
304,Refund has not been processed,billing
305,Unable to access my account,technical
306,Reception staff behaved unprofessionally,service
307,My request was ignored by the service team,service
308,The hotel room was not clean,cleanliness
309,Booking confirmation email never arrived,booking
310,The hotel room was not clean,cleanliness
311,Refund has not been processed,billing
312,Reception staff behaved unprofessionally,service
313,The staff was not helpful during check-in,service
314,Unable to access my account,technical
315,Mobile app is not loading properly,technical
316,I received the wrong booking dates,booking
317,Unable to access my account,technical
318,Unable to access my account,technical
319,The booking website crashed during payment,technical
320,My reservation disappeared from the system,booking
321,The hotel room was not clean,cleanliness
322,Mobile app is not loading properly,technical
323,I was charged twice for my reservation,billing
324,The invoice amount is incorrect,billing
325,The staff was not helpful during check-in,service
326,Bathroom hygiene was unacceptable,cleanliness
327,Customer service did not respond to my request,service
328,My reservation disappeared from the system,booking
329,Bathroom hygiene was unacceptable,cleanliness
330,I received the wrong booking dates,booking
331,Mobile app is not loading properly,technical
332,Housekeeping did not clean the room,cleanliness
333,The invoice amount is incorrect,billing
334,The booking website crashed during payment,technical
335,The hotel room was not clean,cleanliness
336,The website keeps showing server errors,technical
337,Reservation details were incorrect,booking
338,The staff was not helpful during check-in,service
339,Bathroom hygiene was unacceptable,cleanliness
340,Unexpected charges appeared on my bill,billing
341,The hotel room was not clean,cleanliness
342,The hotel room was not clean,cleanliness
343,The website keeps showing server errors,technical
344,I received the wrong booking dates,booking
345,Payment was deducted but booking not confirmed,billing
346,The booking website crashed during payment,technical
347,Reservation details were incorrect,booking
348,Refund has not been processed,billing
349,Unable to access my account,technical
350,Reception staff behaved unprofessionally,service
351,My request was ignored by the service team,service
352,The website keeps showing server errors,technical
353,The room had a bad smell,cleanliness
354,Reservation details were incorrect,booking
355,Bedsheets were dirty,cleanliness
356,Mobile app is not loading properly,technical
357,Unexpected charges appeared on my bill,billing
358,Room booking was not confirmed,booking
359,Booking confirmation email never arrived,booking
360,The room had a bad smell,cleanliness
361,The booking website crashed during payment,technical
362,I received the wrong booking dates,booking
363,Reception staff behaved unprofessionally,service
364,The response from support was very slow,service
365,System error while confirming reservation,technical
366,The website keeps showing server errors,technical
367,The website keeps showing server errors,technical
368,Payment was deducted but booking not confirmed,billing
369,The staff was not helpful during check-in,service
370,Reception staff behaved unprofessionally,service
371,Booking confirmation email never arrived,booking
372,Reception staff behaved unprofessionally,service
373,Reservation details were incorrect,booking
374,I was charged twice for my reservation,billing
375,Mobile app is not loading properly,technical
376,Room booking was not confirmed,booking
377,The website keeps showing server errors,technical
378,Unable to access my account,technical
379,Housekeeping did not clean the room,cleanliness
380,Unable to access my account,technical
381,Bedsheets were dirty,cleanliness
382,Unable to access my account,technical
383,System error while confirming reservation,technical
384,Mobile app is not loading properly,technical
385,The invoice amount is incorrect,billing
386,The booking website crashed during payment,technical
387,Bathroom hygiene was unacceptable,cleanliness
388,Customer service did not respond to my request,service
389,I received the wrong booking dates,booking
390,Housekeeping did not clean the room,cleanliness
391,Bedsheets were dirty,cleanliness
392,The invoice amount is incorrect,billing
393,Mobile app is not loading properly,technical
394,Mobile app is not loading properly,technical
395,The booking website crashed during payment,technical
396,Bathroom hygiene was unacceptable,cleanliness
397,The booking website crashed during payment,technical
398,Payment was deducted but booking not confirmed,billing
399,Mobile app is not loading properly,technical
400,My reservation disappeared from the system,booking
401,Payment was deducted but booking not confirmed,billing
402,Unable to access my account,technical
403,Reservation details were incorrect,booking
404,Mobile app is not loading properly,technical
405,Unexpected charges appeared on my bill,billing
406,My reservation disappeared from the system,booking
407,Refund has not been processed,billing
408,My reservation disappeared from the system,booking
409,The hotel room was not clean,cleanliness
410,Customer service did not respond to my request,service
411,Bedsheets were dirty,cleanliness
412,The invoice amount is incorrect,billing
413,Payment was deducted but booking not confirmed,billing
414,Booking confirmation email never arrived,booking
415,Housekeeping did not clean the room,cleanliness
416,My request was ignored by the service team,service
417,Reservation details were incorrect,booking
418,I received the wrong booking dates,booking
419,The room had a bad smell,cleanliness
420,The website keeps showing server errors,technical
421,The hotel room was not clean,cleanliness
422,The hotel room was not clean,cleanliness
423,Customer service did not respond to my request,service
424,The booking website crashed during payment,technical
425,Customer service did not respond to my request,service
426,My request was ignored by the service team,service
427,The invoice amount is incorrect,billing
428,Refund has not been processed,billing
429,Booking confirmation email never arrived,booking
430,I received the wrong booking dates,booking
431,The invoice amount is incorrect,billing
432,System error while confirming reservation,technical
433,My reservation disappeared from the system,booking
434,The response from support was very slow,service
435,Bathroom hygiene was unacceptable,cleanliness
436,My reservation disappeared from the system,booking
437,Bathroom hygiene was unacceptable,cleanliness
438,The response from support was very slow,service
439,The staff was not helpful during check-in,service
440,The invoice amount is incorrect,billing
441,The website keeps showing server errors,technical
442,Bedsheets were dirty,cleanliness
443,My reservation disappeared from the system,booking
444,I received the wrong booking dates,booking
445,I received the wrong booking dates,booking
446,Housekeeping did not clean the room,cleanliness
447,Reservation details were incorrect,booking
448,Payment was deducted but booking not confirmed,billing
449,Refund has not been processed,billing
450,The website keeps showing server errors,technical
451,The booking website crashed during payment,technical
452,The invoice amount is incorrect,billing
453,Housekeeping did not clean the room,cleanliness
454,Unexpected charges appeared on my bill,billing
455,The hotel room was not clean,cleanliness
456,Reception staff behaved unprofessionally,service
457,The room had a bad smell,cleanliness
458,Mobile app is not loading properly,technical
459,The room had a bad smell,cleanliness
460,My reservation disappeared from the system,booking
461,I received the wrong booking dates,booking
462,I received the wrong booking dates,booking
463,The booking website crashed during payment,technical
464,The response from support was very slow,service
465,Reservation details were incorrect,booking
466,Unable to access my account,technical
467,The hotel room was not clean,cleanliness
468,My reservation disappeared from the system,booking
469,System error while confirming reservation,technical
470,The booking website crashed during payment,technical
471,Booking confirmation email never arrived,booking
472,Payment was deducted but booking not confirmed,billing
473,Reservation details were incorrect,booking
474,The invoice amount is incorrect,billing
475,Bedsheets were dirty,cleanliness
476,The room had a bad smell,cleanliness
477,My reservation disappeared from the system,booking
478,The response from support was very slow,service
479,Bathroom hygiene was unacceptable,cleanliness
480,Unable to access my account,technical
481,My reservation disappeared from the system,booking
482,Payment was deducted but booking not confirmed,billing
483,Customer service did not respond to my request,service
484,The website keeps showing server errors,technical
485,Payment was deducted but booking not confirmed,billing
486,My reservation disappeared from the system,booking
487,The staff was not helpful during check-in,service
488,My reservation disappeared from the system,booking
489,Reception staff behaved unprofessionally,service
490,The website keeps showing server errors,technical
491,Unable to access my account,technical
492,Reservation details were incorrect,booking
493,Reception staff behaved unprofessionally,service
494,Bathroom hygiene was unacceptable,cleanliness
495,Room booking was not confirmed,booking
496,Housekeeping did not clean the room,cleanliness
497,The staff was not helpful during check-in,service
498,Unable to access my account,technical
499,The website keeps showing server errors,technical
500,The booking website crashed during payment,technical
501,System error while confirming reservation,technical
502,Housekeeping did not clean the room,cleanliness
503,Room booking was not confirmed,booking
504,Booking confirmation email never arrived,booking
505,I received the wrong booking dates,booking
506,The website keeps showing server errors,technical
507,The room had a bad smell,cleanliness
508,I received the wrong booking dates,booking
509,Customer service did not respond to my request,service
510,The room had a bad smell,cleanliness
511,Reception staff behaved unprofessionally,service
512,Unexpected charges appeared on my bill,billing
513,Reservation details were incorrect,booking
514,Room booking was not confirmed,booking
515,My reservation disappeared from the system,booking
516,My request was ignored by the service team,service
517,Bedsheets were dirty,cleanliness
518,Refund has not been processed,billing
519,Payment was deducted but booking not confirmed,billing
520,My reservation disappeared from the system,booking
521,Reception staff behaved unprofessionally,service
522,The staff was not helpful during check-in,service
523,I received the wrong booking dates,booking
524,The website keeps showing server errors,technical
525,My reservation disappeared from the system,booking
526,The website keeps showing server errors,technical
527,I received the wrong booking dates,booking
528,Booking confirmation email never arrived,booking
529,Payment was deducted but booking not confirmed,billing
530,The invoice amount is incorrect,billing
531,Mobile app is not loading properly,technical
532,Refund has not been processed,billing
533,I was charged twice for my reservation,billing
534,Room booking was not confirmed,booking
535,The booking website crashed during payment,technical
536,Unexpected charges appeared on my bill,billing
537,Unexpected charges appeared on my bill,billing
538,System error while confirming reservation,technical
539,Room booking was not confirmed,booking
540,My request was ignored by the service team,service
541,Booking confirmation email never arrived,booking
542,Customer service did not respond to my request,service
543,The staff was not helpful during check-in,service
544,The room had a bad smell,cleanliness
545,Bathroom hygiene was unacceptable,cleanliness
546,Booking confirmation email never arrived,booking
547,Customer service did not respond to my request,service
548,I received the wrong booking dates,booking
549,I received the wrong booking dates,booking
550,Refund has not been processed,billing
551,The website keeps showing server errors,technical
552,The staff was not helpful during check-in,service
553,I received the wrong booking dates,booking
554,Bedsheets were dirty,cleanliness
555,I received the wrong booking dates,booking
556,I received the wrong booking dates,booking
557,Reception staff behaved unprofessionally,service
558,My reservation disappeared from the system,booking
559,Reception staff behaved unprofessionally,service
560,Bedsheets were dirty,cleanliness
561,Bedsheets were dirty,cleanliness
562,The booking website crashed during payment,technical
563,I received the wrong booking dates,booking
564,Payment was deducted but booking not confirmed,billing
565,Payment was deducted but booking not confirmed,billing
566,I received the wrong booking dates,booking
567,My request was ignored by the service team,service
568,Mobile app is not loading properly,technical
569,My request was ignored by the service team,service
570,Mobile app is not loading properly,technical
571,I was charged twice for my reservation,billing
572,Unable to access my account,technical
573,Payment was deducted but booking not confirmed,billing
574,Mobile app is not loading properly,technical
575,Unexpected charges appeared on my bill,billing
576,Unable to access my account,technical
577,Customer service did not respond to my request,service
578,My request was ignored by the service team,service
579,The website keeps showing server errors,technical
580,Bedsheets were dirty,cleanliness
581,The response from support was very slow,service
582,I received the wrong booking dates,booking
583,The booking website crashed during payment,technical
584,My reservation disappeared from the system,booking
585,Customer service did not respond to my request,service
586,Booking confirmation email never arrived,booking
587,The booking website crashed during payment,technical
588,My reservation disappeared from the system,booking
589,The website keeps showing server errors,technical
590,Refund has not been processed,billing
591,System error while confirming reservation,technical
592,The room had a bad smell,cleanliness
593,The booking website crashed during payment,technical
594,Reception staff behaved unprofessionally,service
595,Payment was deducted but booking not confirmed,billing
596,Bedsheets were dirty,cleanliness
597,Bathroom hygiene was unacceptable,cleanliness
598,Refund has not been processed,billing
599,Unable to access my account,technical
600,The invoice amount is incorrect,billing
601,I was charged twice for my reservation,billing
602,Unable to access my account,technical
603,I was charged twice for my reservation,billing
604,My request was ignored by the service team,service
605,Reception staff behaved unprofessionally,service
606,I received the wrong booking dates,booking
607,The room had a bad smell,cleanliness
608,Bathroom hygiene was unacceptable,cleanliness
609,My reservation disappeared from the system,booking
610,Booking confirmation email never arrived,booking
611,I received the wrong booking dates,booking
612,Unexpected charges appeared on my bill,billing
613,Reception staff behaved unprofessionally,service
614,Room booking was not confirmed,booking
615,The booking website crashed during payment,technical
616,The website keeps showing server errors,technical
617,The booking website crashed during payment,technical
618,I received the wrong booking dates,booking
619,The staff was not helpful during check-in,service
620,My reservation disappeared from the system,booking
621,My request was ignored by the service team,service
622,I was charged twice for my reservation,billing
623,Mobile app is not loading properly,technical
624,My request was ignored by the service team,service
625,The staff was not helpful during check-in,service
626,Bathroom hygiene was unacceptable,cleanliness
627,Bathroom hygiene was unacceptable,cleanliness
628,The response from support was very slow,service
629,My request was ignored by the service team,service
630,Unexpected charges appeared on my bill,billing
631,Customer service did not respond to my request,service
632,Bedsheets were dirty,cleanliness
633,The staff was not helpful during check-in,service
634,The invoice amount is incorrect,billing
635,Unexpected charges appeared on my bill,billing
636,My request was ignored by the service team,service
637,The booking website crashed during payment,technical
638,The response from support was very slow,service
639,The invoice amount is incorrect,billing
640,Booking confirmation email never arrived,booking
641,I was charged twice for my reservation,billing
642,Reservation details were incorrect,booking
643,The website keeps showing server errors,technical
644,The hotel room was not clean,cleanliness
645,Booking confirmation email never arrived,booking
646,My request was ignored by the service team,service
647,Payment was deducted but booking not confirmed,billing
648,Unable to access my account,technical
649,I was charged twice for my reservation,billing
650,Reservation details were incorrect,booking
651,My reservation disappeared from the system,booking
652,Reservation details were incorrect,booking
653,I was charged twice for my reservation,billing
654,The website keeps showing server errors,technical
655,The staff was not helpful during check-in,service
656,The response from support was very slow,service
657,Housekeeping did not clean the room,cleanliness
658,Bedsheets were dirty,cleanliness
659,Booking confirmation email never arrived,booking
660,Bedsheets were dirty,cleanliness
661,Booking confirmation email never arrived,booking
662,The room had a bad smell,cleanliness
663,I was charged twice for my reservation,billing
664,Bathroom hygiene was unacceptable,cleanliness
665,Reservation details were incorrect,booking
666,Reception staff behaved unprofessionally,service
667,Unable to access my account,technical
668,Reservation details were incorrect,booking
669,Unexpected charges appeared on my bill,billing
670,I received the wrong booking dates,booking
671,System error while confirming reservation,technical
672,Reception staff behaved unprofessionally,service
673,I was charged twice for my reservation,billing
674,I was charged twice for my reservation,billing
675,My reservation disappeared from the system,booking
676,Mobile app is not loading properly,technical
677,The hotel room was not clean,cleanliness
678,Housekeeping did not clean the room,cleanliness
679,Bedsheets were dirty,cleanliness
680,Refund has not been processed,billing
681,Unable to access my account,technical
682,Unexpected charges appeared on my bill,billing
683,Bedsheets were dirty,cleanliness
684,The booking website crashed during payment,technical
685,Housekeeping did not clean the room,cleanliness
686,Customer service did not respond to my request,service
687,Room booking was not confirmed,booking
688,Unexpected charges appeared on my bill,billing
689,Bedsheets were dirty,cleanliness
690,Unexpected charges appeared on my bill,billing
691,Bathroom hygiene was unacceptable,cleanliness
692,Booking confirmation email never arrived,booking
693,Housekeeping did not clean the room,cleanliness
694,The hotel room was not clean,cleanliness
695,Bedsheets were dirty,cleanliness
696,The invoice amount is incorrect,billing
697,System error while confirming reservation,technical
698,System error while confirming reservation,technical
699,The invoice amount is incorrect,billing
700,My request was ignored by the service team,service
701,My reservation disappeared from the system,booking
702,The staff was not helpful during check-in,service
703,Payment was deducted but booking not confirmed,billing
704,Reception staff behaved unprofessionally,service
705,Reservation details were incorrect,booking
706,Mobile app is not loading properly,technical
707,System error while confirming reservation,technical
708,The website keeps showing server errors,technical
709,The hotel room was not clean,cleanliness
710,The invoice amount is incorrect,billing
711,My request was ignored by the service team,service
712,I was charged twice for my reservation,billing
713,Unable to access my account,technical
714,Reservation details were incorrect,booking
715,The room had a bad smell,cleanliness
716,I received the wrong booking dates,booking
717,My request was ignored by the service team,service
718,Unexpected charges appeared on my bill,billing
719,My reservation disappeared from the system,booking
720,The website keeps showing server errors,technical
721,Booking confirmation email never arrived,booking
722,The booking website crashed during payment,technical
723,Reception staff behaved unprofessionally,service
724,The hotel room was not clean,cleanliness
725,The invoice amount is incorrect,billing
726,Mobile app is not loading properly,technical
727,The response from support was very slow,service
728,System error while confirming reservation,technical
729,I was charged twice for my reservation,billing
730,Reservation details were incorrect,booking
731,Customer service did not respond to my request,service
732,Booking confirmation email never arrived,booking
733,My request was ignored by the service team,service
734,Bedsheets were dirty,cleanliness
735,Refund has not been processed,billing
736,Refund has not been processed,billing
737,Refund has not been processed,billing
738,Unexpected charges appeared on my bill,billing
739,The room had a bad smell,cleanliness
740,The room had a bad smell,cleanliness
741,I received the wrong booking dates,booking
742,Refund has not been processed,billing
743,Unexpected charges appeared on my bill,billing
744,My request was ignored by the service team,service
745,I received the wrong booking dates,booking
746,Refund has not been processed,billing
747,The invoice amount is incorrect,billing
748,Booking confirmation email never arrived,booking
749,Booking confirmation email never arrived,booking
750,Refund has not been processed,billing
751,System error while confirming reservation,technical
752,The response from support was very slow,service
753,The staff was not helpful during check-in,service
754,The hotel room was not clean,cleanliness
755,Housekeeping did not clean the room,cleanliness
756,The response from support was very slow,service
757,Mobile app is not loading properly,technical
758,The staff was not helpful during check-in,service
759,The response from support was very slow,service
760,Customer service did not respond to my request,service
761,Bathroom hygiene was unacceptable,cleanliness
762,The invoice amount is incorrect,billing
763,Reservation details were incorrect,booking
764,Housekeeping did not clean the room,cleanliness
765,Booking confirmation email never arrived,booking
766,Bedsheets were dirty,cleanliness
767,Mobile app is not loading properly,technical
768,My reservation disappeared from the system,booking
769,Reservation details were incorrect,booking
770,System error while confirming reservation,technical
771,The hotel room was not clean,cleanliness
772,The website keeps showing server errors,technical
773,Unexpected charges appeared on my bill,billing
774,Reservation details were incorrect,booking
775,I was charged twice for my reservation,billing
776,System error while confirming reservation,technical
777,I was charged twice for my reservation,billing
778,Housekeeping did not clean the room,cleanliness
779,The room had a bad smell,cleanliness
780,Booking confirmation email never arrived,booking
781,The hotel room was not clean,cleanliness
782,Booking confirmation email never arrived,booking
783,The response from support was very slow,service
784,The room had a bad smell,cleanliness
785,Bathroom hygiene was unacceptable,cleanliness
786,Refund has not been processed,billing
787,Unexpected charges appeared on my bill,billing
788,Payment was deducted but booking not confirmed,billing
789,The staff was not helpful during check-in,service
790,Reception staff behaved unprofessionally,service
791,Booking confirmation email never arrived,booking
792,Housekeeping did not clean the room,cleanliness
793,The response from support was very slow,service
794,System error while confirming reservation,technical
795,Reservation details were incorrect,booking
796,The website keeps showing server errors,technical
797,Unexpected charges appeared on my bill,billing
798,Unexpected charges appeared on my bill,billing
799,Payment was deducted but booking not confirmed,billing
800,I received the wrong booking dates,booking
801,The website keeps showing server errors,technical
802,The response from support was very slow,service
803,Payment was deducted but booking not confirmed,billing
804,The response from support was very slow,service
805,Unable to access my account,technical
806,My request was ignored by the service team,service
807,Unexpected charges appeared on my bill,billing
808,The room had a bad smell,cleanliness
809,Mobile app is not loading properly,technical
810,The hotel room was not clean,cleanliness
811,Booking confirmation email never arrived,booking
812,The booking website crashed during payment,technical
813,System error while confirming reservation,technical
814,Customer service did not respond to my request,service
815,Unable to access my account,technical
816,Customer service did not respond to my request,service
817,Customer service did not respond to my request,service
